MMVM# sh sfm link | beg SFM8 | until SFM12
sfmUnifiedOperationalDataHandler - SHOW SFM LINKS command
SFM Links (SFM8):
 Link  | CRC Error  | Size Error | Code Group Error | Misalign | No Signal Lock | No signal accept | Errored tokens | Errored tokens count
  16    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  17    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  18    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  19    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  20    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  21    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  22    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  23    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  24    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  25    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  26    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  27    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  28    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  29    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  30    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  31    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  32    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  33    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  34    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  35    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  36    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  37    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  38    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  39    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  40    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  41    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  42    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  43    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  44    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  45    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  46    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  47    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  48    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  49    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  50    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  51    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  52    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  53    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  54    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  55    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  56    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  57    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  58    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  59    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  60    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  61    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  62    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  63    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  64    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  65    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  66    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  67    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  68    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  69    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  70    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  71    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  72    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  73    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  74    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  75    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  76    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  77    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  78    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  79    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  80    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  81    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  82    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  83    |    -      |         -        |   -      |      -         |        -           |      -         |    -                 |  63
  84    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  85    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  86    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
  87    |    -      |         -        |   ***    |      ***       |        ***         |      ***       |    ***               |  0
